; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",270383394816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1496838955,"CurrentTimeLocal","Wed Jun  7 14:35:55 2017","Hostname","c01n02"
; "Time_ContextCreate [ms]", 0.000143
; "Time_ContextDestroy [ms]", 5.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,3,3,"Success",0.000441,0.00235,0.000966,0.000122,0.000196,0.000151,6.6e-05,0.000929,0.005568,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,4,3,"Success",0.000432,0.002349,0.000975,0.000123,0.000188,0.000155,6.8e-05,0.000931,0.005566,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,5,3,"Success",0.000441,0.002313,0.000971,0.000122,0.000188,0.000154,6.8e-05,0.000938,0.005532,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,6,3,"Success",0.000438,0.002342,0.00097,0.000123,0.000186,0.000158,6.7e-05,0.00093,0.005545,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,7,3,"Success",0.000452,0.002157,0.000983,0.000123,0.000147,0.000158,6.5e-05,0.000941,0.005358,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,8,3,"Success",0.000439,0.002409,0.000992,0.000124,0.000187,0.000156,6.6e-05,0.000922,0.005629,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,9,3,"Success",0.000436,0.002348,0.00099,0.000121,0.000186,0.00016,6.8e-05,0.000919,0.005559,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,10,3,"Success",0.000436,0.002336,0.000977,0.000121,0.000185,0.000155,6.7e-05,0.00094,0.005556,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,11,3,"Success",0.00043,0.007411,0.001049,0.000126,0.000203,0.000175,6.7e-05,0.000968,0.010762,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,0,4,"Warmup",0.000537,0.003119,0.000923,0.000265,0.000553,0.149477,0.000174,0.001705,0.157177,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,1,4,"Warmup",0.000618,0.003141,0.000923,0.000154,0.000392,0.000314,8.5e-05,0.001029,0.007057,512,0,512
