; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540486615040,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1496259892,"CurrentTimeLocal","Wed May 31 21:44:52 2017","Hostname","r02n13"
; "Time_ContextCreate [ms]", 0.00035
; "Time_ContextDestroy [ms]", 3.9e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,10,2,"Success",0.000345,1.436119,1.418987,0.00013,0.000231,0.000143,0.0001,0.000995,2.857655,128,0,128
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,11,2,"Success",0.000171,1.424896,1.453309,0.00014,0.000218,0.000133,7.1e-05,0.001027,2.880557,128,0,128
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,0,3,"Warmup",0.000288,30.308243,29.016139,0.000129,0.000453,0.000181,0.000102,0.000945,59.327084,256,0,256
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,1,3,"Warmup",0.000207,30.008589,29.086594,0.000137,0.00041,0.000189,9.5e-05,0.000813,59.097603,256,0,256
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,2,3,"Success",0.000164,29.780372,28.763772,0.000109,0.000442,0.000185,0.000102,0.000881,58.546605,256,0,256
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,3,3,"Success",0.000187,30.045127,29.256289,0.000143,0.000423,0.000181,9.3e-05,0.00105,59.304076,256,0,256
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,4,3,"Success",0.000189,29.805673,29.231918,0.000111,0.000476,0.000188,0.000107,0.000896,59.040445,256,0,256
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,5,3,"Success",0.000188,30.009511,28.851737,0.000103,0.000458,0.000176,0.000111,0.001053,58.863968,256,0,256
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,6,3,"Success",0.000187,29.709779,29.028472,0.000124,0.000407,0.000194,0.000117,0.00117,58.741012,256,0,256
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,7,3,"Success",0.000193,29.95227,29.535063,0.000151,0.000418,0.000183,9.2e-05,0.001011,59.489966,256,0,256
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,8,3,"Success",0.000189,29.774134,29.169932,0.000138,0.000428,0.000181,0.000102,0.000765,58.946495,256,0,256
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,9,3,"Success",0.000164,29.678855,29.340284,0.000135,0.000419,0.000183,9.3e-05,0.000804,59.02154,256,0,256
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,10,3,"Success",0.000178,29.918749,29.131521,0.000113,0.000534,0.000192,0.000116,0.000849,59.052846,256,0,256
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,11,3,"Success",0.000176,30.088129,29.312403,0.000126,0.000543,0.000194,9.9e-05,0.00108,59.403315,256,0,256
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,0,4,"Warmup",0.000161,50.937811,49.143491,0.000175,0.000672,0.000306,8.8e-05,0.00099,100.084289,512,0,512
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,1,4,"Warmup",0.000168,50.813255,49.097915,0.000181,0.001037,0.000309,0.000104,0.000831,99.914383,512,0,512
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,2,4,"Success",0.000158,50.795275,49.190664,0.000178,0.000723,0.000302,0.000101,0.00099,99.988999,512,0,512
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,3,4,"Success",0.000157,50.569234,49.424977,0.000171,0.000651,0.000305,0.000105,0.000753,99.99694,512,0,512
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,4,4,"Success",0.000155,54.489588,50.619767,0.000161,0.00069,0.000309,9.1e-05,0.000878,105.112263,512,0,512
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,5,4,"Success",0.000198,50.694554,49.200302,0.000167,0.000915,0.000301,9.8e-05,0.000837,99.89797,512,0,512
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,6,4,"Success",0.00016,50.717589,49.726631,0.000192,0.000677,0.000306,0.000108,0.000812,100.447105,512,0,512
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,7,4,"Success",0.000174,50.808627,49.54298,0.000193,0.000632,0.000309,9.1e-05,0.000803,100.354423,512,0,512
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,8,4,"Success",0.000153,50.52444,49.372956,0.000126,0.000758,0.000315,8.9e-05,0.00112,99.900548,512,0,512
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,9,4,"Success",0.000159,50.499603,49.540432,0.000168,0.00078,0.000302,0.0001,0.000909,100.04303,512,0,512
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,10,4,"Success",0.000161,50.77915,49.335605,0.000142,0.000783,0.000307,0.00011,0.000976,100.117811,512,0,512
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,11,4,"Success",0.000193,50.814703,49.206051,0.000154,0.000671,0.000317,8.4e-05,0.000991,100.023768,512,0,512
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,0,5,"Warmup",0.000318,115.118312,110.960397,0.000209,0.001581,0.00064,0.000156,0.001048,226.08325,1024,0,1024
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,1,5,"Warmup",0.000388,117.022455,110.852002,0.00017,0.001516,0.000623,0.000149,0.001331,227.879291,1024,0,1024
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,2,5,"Success",0.000352,116.173218,110.862028,0.00026,0.00146,0.00066,0.000152,0.000905,227.039592,1024,0,1024
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,3,5,"Success",0.000331,116.324691,111.852871,0.000151,0.001552,0.000643,0.000158,0.000979,228.182017,1024,0,1024
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,4,5,"Success",0.000329,119.377129,111.224251,0.000187,0.001569,0.000631,0.000158,0.001014,230.605945,1024,0,1024
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,5,5,"Success",0.000363,116.405475,110.376602,0.000182,0.001425,0.000632,0.000155,0.000885,226.786364,1024,0,1024
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,6,5,"Success",0.0003,116.701449,111.230949,0.000179,0.00155,0.000833,0.000157,0.001121,227.937179,1024,0,1024
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,7,5,"Success",0.000365,116.969821,110.71302,0.000168,0.001476,0.000664,0.000157,0.000991,227.687353,1024,0,1024
