; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540486615040,"PlanRigor","wisdom","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1497002542,"CurrentTimeLocal","Fri Jun  9 12:02:22 2017","Hostname","r02n04"
; "Time_ContextCreate [ms]", 0.000286
; "Time_ContextDestroy [ms]", 7.4e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,4,3,"Success",0.00064,0.027352,0.021243,0.000164,0.000506,0.000312,5.5e-05,0.000689,0.051308,512,0,512
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,5,3,"Success",0.000603,0.02732,0.021353,0.000177,0.000464,0.000318,6.9e-05,0.000632,0.051262,512,0,512
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,6,3,"Success",0.000601,0.027545,0.021532,0.000154,0.000479,0.000323,6.8e-05,0.000687,0.051783,512,0,512
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,7,3,"Success",0.000617,0.0274,0.021577,0.00014,0.000468,0.000298,6.6e-05,0.000706,0.051641,512,0,512
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,8,3,"Success",0.000594,0.027289,0.02139,0.000163,0.000492,0.000324,7.1e-05,0.000711,0.051372,512,0,512
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,9,3,"Success",0.000556,0.027378,0.021797,0.000158,0.000503,0.00032,6.7e-05,0.000701,0.051863,512,0,512
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,10,3,"Success",0.000663,0.027128,0.021347,0.00016,0.000479,0.000332,6.3e-05,0.000683,0.051196,512,0,512
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,11,3,"Success",0.000515,0.027074,0.021541,0.000162,0.000483,0.000324,6.7e-05,0.000678,0.051197,512,0,512
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,0,4,"fftw forward plan could not be created as wisdom is not available for this problem.",0.000623,0,0,0,0,0,0,0,0,1024,0,1024
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,1,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,2,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,3,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,4,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,5,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,6,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,7,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,8,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,9,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,10,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,11,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,0,5,"fftw forward plan could not be created as wisdom is not available for this problem.",0.000513,0,0,0,0,0,0,0,0,2048,0,2048
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,1,5,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,2,5,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,3,5,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,4,5,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,5,5,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,6,5,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,7,5,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,8,5,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,9,5,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,10,5,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,11,5,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,0,6,"Warmup",0.000356,0.02809,0.021087,0.0003,0.001627,0.001494,0.000124,0.000729,0.054183,4096,0,4096
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,1,6,"Warmup",0.00036,0.030357,0.02402,0.000366,0.001596,0.001406,0.000131,0.000694,0.059319,4096,0,4096
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,2,6,"Success",0.00052,0.02874,0.021328,0.000328,0.001572,0.001561,0.000213,0.000704,0.055345,4096,0,4096
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,3,6,"Success",0.000351,0.027885,0.020752,0.000277,0.001588,0.001448,0.000133,0.000692,0.053467,4096,0,4096
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,4,6,"Success",0.000345,0.02787,0.020961,0.000332,0.001581,0.001455,0.000121,0.000625,0.053643,4096,0,4096
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,5,6,"Success",0.000489,0.028105,0.020917,0.000335,0.00157,0.001548,0.0002,0.00068,0.054232,4096,0,4096
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,6,6,"Success",0.000369,0.027684,0.020719,0.000298,0.001574,0.001457,0.00013,0.000638,0.053209,4096,0,4096
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,7,6,"Success",0.000329,0.027618,0.023078,0.000352,0.001569,0.001428,0.000124,0.000654,0.055482,4096,0,4096
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,8,6,"Success",0.000551,0.02956,0.022411,0.00032,0.001695,0.001635,0.000225,0.000721,0.05751,4096,0,4096
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,9,6,"Success",0.000385,0.027608,0.020931,0.000312,0.001616,0.00142,0.000123,0.000633,0.053381,4096,0,4096
