; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",270383394816,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1497014160,"CurrentTimeLocal","Fri Jun  9 15:16:00 2017","Hostname","c02n15"
; "Time_ContextCreate [ms]", 0.000206
; "Time_ContextDestroy [ms]", 5.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,5,2,"Success",0.000579,0.005075,0.002368,0.00017,0.015636,0.012666,0.000148,0.004145,0.041101,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,6,2,"Success",0.000566,0.005116,0.002353,0.00017,0.015866,0.013301,0.000145,0.004039,0.041881,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,7,2,"Success",0.000571,0.005084,0.002365,0.000177,0.016064,0.013307,0.000146,0.004226,0.042261,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,8,2,"Success",0.000576,0.005074,0.002435,0.000174,0.014745,0.013225,0.000147,0.004252,0.040937,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,9,2,"Success",0.000566,0.005355,0.002428,0.000168,0.015454,0.013601,0.000142,0.004083,0.042136,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,10,2,"Success",0.000533,0.00506,0.002437,0.000169,0.015702,0.012966,0.000139,0.003961,0.041288,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,11,2,"Success",0.000544,0.005156,0.002357,0.000167,0.015887,0.01316,0.000149,0.003826,0.041572,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,0,3,"Warmup",0.000604,0.003075,0.000967,0.000317,0.0203,0.276932,0.00023,0.001671,0.304541,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,1,3,"Warmup",0.000561,0.003058,0.000866,0.000232,0.000426,0.000402,8.9e-05,0.000934,0.00695,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,2,3,"Success",0.000534,0.002453,0.000832,0.000209,0.000367,0.000367,7.5e-05,0.000892,0.00606,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,3,3,"Success",0.000505,0.002464,0.000827,0.000204,0.000333,0.000358,7.6e-05,0.000879,0.005971,512,0,512
