; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",270383394816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1497014033,"CurrentTimeLocal","Fri Jun  9 15:13:53 2017","Hostname","c02n10"
; "Time_ContextCreate [ms]", 0.000159
; "Time_ContextDestroy [ms]", 4.7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,9,2,"Success",0.000455,0.004472,0.002488,0.000161,0.014177,0.012437,0.000135,0.005417,0.04008,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,10,2,"Success",0.000465,0.004042,0.002071,0.000163,0.013759,0.012628,0.000136,0.005018,0.038614,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,11,2,"Success",0.000475,0.004187,0.002068,0.00013,0.013483,0.012043,0.000144,0.004178,0.037039,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,0,3,"Warmup",0.0005,0.002786,0.000879,0.000255,0.01875,0.268395,0.000308,0.001502,0.293815,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,1,3,"Warmup",0.000472,0.002818,0.000826,0.000222,0.000514,0.000391,0.000111,0.000916,0.006637,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,2,3,"Success",0.000351,0.0019,0.000788,0.00018,0.000399,0.000284,6.5e-05,0.000935,0.005247,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,3,3,"Success",0.000244,0.001728,0.000754,0.000149,0.000307,0.000269,7.1e-05,0.000959,0.004842,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,4,3,"Success",0.000255,0.001688,0.000749,0.000136,0.000277,0.000275,6.9e-05,0.000931,0.004698,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,5,3,"Success",0.000258,0.001628,0.000752,0.000148,0.000289,0.000268,7e-05,0.000951,0.004691,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,6,3,"Success",0.000256,0.001644,0.000748,0.000129,0.000272,0.000273,6.6e-05,0.000922,0.004642,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,7,3,"Success",0.000257,0.001645,0.000761,0.00013,0.000277,0.00027,7.3e-05,0.000955,0.004688,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,8,3,"Success",0.000261,0.001658,0.000748,0.000129,0.000255,0.000277,7e-05,0.000948,0.004665,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,9,3,"Success",0.000365,0.001738,0.000753,0.000151,0.000307,0.000268,6.9e-05,0.000956,0.004924,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,10,3,"Success",0.000257,0.001632,0.000751,0.000129,0.00026,0.000277,7e-05,0.000943,0.004643,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,11,3,"Success",0.00026,0.001654,0.000746,0.00013,0.000259,0.00027,7.2e-05,0.00093,0.004638,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,0,4,"Warmup",0.000615,0.005483,0.00268,0.000337,0.519489,0.006589,0.00031,0.004523,0.540479,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,1,4,"Warmup",0.00054,0.006078,0.002795,0.000247,0.00796,0.005956,0.00028,0.004199,0.028475,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,2,4,"Success",0.000522,0.004533,0.002595,0.000211,0.006606,0.006549,0.000238,0.003708,0.025297,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,3,4,"Success",0.000496,0.004503,0.002658,0.000204,0.006468,0.005474,0.000273,0.004717,0.025145,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,4,4,"Success",0.000469,0.004477,0.002614,0.000165,0.005916,0.006386,0.000264,0.004919,0.025549,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,5,4,"Success",0.000456,0.004629,0.002544,0.000208,0.007462,0.006625,0.000218,0.004213,0.026696,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,6,4,"Success",0.000452,0.004326,0.002668,0.000206,0.00668,0.005943,0.000211,0.003889,0.02471,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,7,4,"Success",0.000399,0.004272,0.002692,0.000213,0.007044,0.005742,0.000278,0.004939,0.025907,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,8,4,"Success",0.000452,0.004446,0.002524,0.000203,0.006629,0.005052,0.000238,0.003864,0.023737,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,9,4,"Success",0.000388,0.004183,0.002515,0.000219,0.006639,0.005811,0.000336,0.004303,0.024717,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,10,4,"Success",0.000398,0.004466,0.002537,0.000199,0.006512,0.0062,0.000298,0.004009,0.024947,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,4,8,11,4,"Success",0.000432,0.004116,0.0026,0.000209,0.005929,0.005738,0.000254,0.004044,0.023639,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,8,8,0,5,"Warmup",0.000465,0.006284,0.002631,0.000324,0.20534,0.020411,0.000492,0.005421,0.241831,2048,0,2048
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,8,8,1,5,"Warmup",0.000611,0.005515,0.002488,0.000361,0.021328,0.019331,0.000329,0.005129,0.05549,2048,0,2048
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,8,8,2,5,"Success",0.000505,0.005093,0.002254,0.000342,0.020158,0.019487,0.00048,0.005799,0.054459,2048,0,2048
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,8,8,3,5,"Success",0.000481,0.004892,0.0022,0.000333,0.02058,0.02068,0.000378,0.005446,0.055331,2048,0,2048
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,8,8,4,5,"Success",0.000296,0.004066,0.0073,0.000256,0.020783,0.019091,0.000374,0.005372,0.057893,2048,0,2048
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,8,8,5,5,"Success",0.000535,0.004981,0.002212,0.000354,0.019955,0.018866,0.000398,0.004829,0.052467,2048,0,2048
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,8,8,6,5,"Success",0.000323,0.004467,0.002576,0.000241,0.021528,0.018563,0.000324,0.004643,0.052996,2048,0,2048
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,8,8,7,5,"Success",0.000316,0.004351,0.002511,0.00025,0.021046,0.018503,0.000371,0.005331,0.053015,2048,0,2048
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,8,8,8,5,"Success",0.000461,0.004518,0.002135,0.000315,0.021711,0.019818,0.000364,0.004707,0.054357,2048,0,2048
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,8,8,9,5,"Success",0.00049,0.004709,0.002142,0.000269,0.022424,0.018663,0.000301,0.004649,0.053992,2048,0,2048
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,8,8,10,5,"Success",0.000519,0.004636,0.002282,0.000303,0.021389,0.019134,0.000363,0.004862,0.053825,2048,0,2048
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,8,8,11,5,"Success",0.000516,0.004549,0.002127,0.000372,0.021121,0.018694,0.000395,0.004627,0.052739,2048,0,2048
